REPDTE,ASSET,CERT,INTINC,NETINC,NONII,LNLSNET,DEP,NPERFV,ID
20260331,22016606,17838,249196.0,91012.0,78049.0,13153815,18771781,0.453557646441963,17838_20260331
20260331,21403986,1768,241928.0,47502.0,20359.0,13703598,18251541,0.2527519874101954,1768_20260331
20260331,21134120,131,250706.0,32265.0,25176.0,12483367,16646859,0.4697664250983717,131_20260331
20260331,21048883,4365,248568.0,33279.0,2363.0,15451208,16514770,0.451016806925099,4365_20260331
20260331,20995000,57408,245000.0,153000.0,66000.0,9404000,16244000,0.1333650869254584,57408_20260331
20260331,20473249,12633,258060.0,101101.0,63545.0,11411819,16412033,0.2621909204542962,12633_20260331
20260331,20263028,8056,269870.0,69991.0,44779.0,16546570,13040979,1.5184502533382471,8056_20260331
20260331,20062734,57311,246172.0,87534.0,2315.0,14886894,18396559,0.7822463279431406,57311_20260331
20260331,19231898,16068,215844.0,13027.0,7101.0,13344488,15783666,0.4245030833670187,16068_20260331
20260331,19070727,30387,279849.0,85850.0,33534.0,12858822,16654866,0.6535985754502175,30387_20260331
20260331,18984962,4988,232044.0,59552.0,42220.0,14008662,15860550,1.1808029955498462,4988_20260331
20260331,18652384,26610,230145.0,32427.0,15734.0,14582029,15771705,0.7498880572049128,26610_20260331
20260331,18170078,57993,241480.0,83332.0,10840.0,13784901,14511649,0.9959065668292671,57993_20260331
20260331,18012163,16450,225407.0,54727.0,45345.0,13296060,14831408,0.2595579442624409,16450_20260331
20260331,17468430,30012,195428.0,23166.0,5676.0,15747391,10298906,0.2204204957171308,30012_20260331
20260331,17433997,6989,179896.0,50095.0,34816.0,11041141,15014456,0.3546576267048801,6989_20260331
20260331,17196325,27237,225046.0,51669.0,17063.0,11551134,14656822,1.033162608871372,27237_20260331
20260331,16911880,28178,203470.0,54688.0,30493.0,12922750,14434616,0.5413413529424286,28178_20260331
20260331,16433171,8663,225350.0,59507.0,26886.0,12548850,14099930,0.9645916786236812,8663_20260331
20260331,16403712,4239,217243.0,35946.0,37132.0,12534625,13273997,1.6110256020100815,4239_20260331
20260331,16338071,28489,197818.0,56492.0,20143.0,11581052,13928915,0.3163470155075223,28489_20260331
20260331,16100274,57542,159898.0,18108.0,148079.0,8322267,13591638,0.0873836060181336,57542_20260331
20260331,16090102,7230,182629.0,47304.0,30978.0,11408840,13891407,0.3808366162004442,7230_20260331
20260331,15828371,33681,,,,10092715,9860167,0.0,33681_20260331
